id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month_sold,yr_sold
7129300520,221900.0,3,1.0,1180,5650,1.0,0,0,2,7,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,10,2014
6414100192,538000.0,3,2.25,2570,7242,2.0,0,0,2,7,2170,400.0,1951,1991.0,98125,47.721,-122.319,1690,7639,12,2014
5631500400,180000.0,2,1.0,770,10000,1.0,0,0,2,6,770,0.0,1933,0.0,98028,47.7379,-122.233,2720,8062,2,2015
2487200875,604000.0,4,3.0,1960,5000,1.0,0,0,4,7,1050,910.0,1965,0.0,98136,47.5208,-122.393,1360,5000,12,2014
1954400510,510000.0,3,2.0,1680,8080,1.0,0,0,2,8,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503,2,2015
1321400060,257500.0,3,2.25,1715,6819,2.0,0,0,2,7,1715,0.0,1995,0.0,98003,47.3097,-122.327,2238,6819,6,2014
2008000270,291850.0,3,1.5,1060,9711,1.0,0,0,2,7,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711,1,2015
2414600126,229500.0,3,1.0,1780,7470,1.0,0,0,2,7,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113,4,2015
3793500160,323000.0,3,2.5,1890,6560,2.0,0,0,2,7,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570,3,2015
9212900260,468000.0,2,1.0,1160,6000,1.0,0,0,3,7,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000,5,2014
6054650070,400000.0,3,1.75,1370,9680,1.0,0,0,3,7,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208,10,2014
1175000570,530000.0,5,2.0,1810,4850,1.5,0,0,2,7,1810,0.0,1900,0.0,98107,47.67,-122.394,1360,4850,3,2015
9297300055,650000.0,4,3.0,2950,5000,2.0,0,3,2,9,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,1,2015
1875500060,395000.0,3,2.0,1890,14040,2.0,0,0,2,7,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018,7,2014
